"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"lie",100,"Europe","Liechtenstein","Liechtenstein",160,160,,,,,,,,40000,40000,40000,40000,40000,37366,40000,40000,38000,38200,39000,39800,,,,,,,,250.,250.,250.,250.,250.,233.54,250.,250.,237.5,238.75,243.75,248.75
"ltu",101,"Europe","Lithuania","Lituanie",65000,65000,3400000,3400000,3400000,3300000,3300000,3200000,3300000,3000000,3000000,2900000,2850000,2800000,2900000,2800000,2700000,2700000,2700000,2700000,2800000,52,52.31,52.31,50.77,50.77,49.230000000000004,50.77,46.15,46.15,44.62,43.85,43.08,44.62,43.08,41.54,41.54,41.54,41.54,43.08
"lux",102,"Europe","Luxembourg","Luxembourg",3000,3000,500000,500000,500000,500000,500000,500000,500000,540000,540000,600000,576000,584000,590000,616000,626000,635000,648000,655000,673000,167,166.67000000000002,166.67000000000002,166.67000000000002,166.67000000000002,166.67000000000002,166.67000000000002,180.,180.,200.,192.,194.67000000000002,196.67000000000002,205.33,208.67000000000002,211.67000000000002,216.,218.33,224.33
"mkd",103,"Europe","Macedonia","Macédoine du Nord",26000,26000,2000000,2000000,2000000,2000000,2000000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2080000,2080000,2000000,1800000,77,76.92,76.92,76.92,76.92,80.77,80.77,80.77,80.77,80.77,80.77,80.77,80.77,80.77,80.77,80.,80.,76.92,69.23
"mdg",104,"Afrique","Madagascar","Madagascar",588000,588000,17800000,18300000,18900000,19500000,20100000,21300000,21900000,22500000,22500000,23000000,24900000,25600000,26300000,27000000,27700000,28400000,29600000,30300000,31900000,30,31.12,32.14,33.160000000000004,34.18,36.22,37.24,38.27,38.27,39.12,42.35,43.54,44.730000000000004,45.92,47.11,48.300000000000004,50.34,51.53,54.25
"mys",105,"Asie","Malaysia","Malasie",330000,330000,26900000,27200000,27700000,28300000,27900000,28900000,29300000,29800000,29800000,30800000,30800000,31200000,32000000,31900000,32400000,32700000,33900000,34300000,35500000,82,82.42,83.94,85.76,84.55,87.58,88.79,90.3,90.3,93.33,93.33,94.55,96.97,96.67,98.18,99.09,102.73,103.94,107.58
"mwi",106,"Afrique","Malawi","Malawi",119000,119000,12800000,13100000,13600000,14200000,15700000,15900000,15900000,16300000,16300000,17200000,17700000,18300000,19200000,18600000,19100000,19600000,20400000,20900000,21600000,108,110.08,114.29,119.33,131.93,133.61,133.61,136.97,136.97,144.54,148.74,153.78,161.34,156.3,160.5,164.71,171.43,175.63,181.51
"mdv",107,"Asie","Maldives","Maldives",300,300,300000,300000,300000,300000,300000,300000,300000,360000,360000,350000,370000,376000,382000,500000,540000,544000,524000,34300000,528000,1000,1000.,1000.,1000.,1000.,1000.,1000.,1200.,1200.,1166.67,1233.33,1253.33,1273.33,1666.67,1800.,1813.33,1746.67,114333.33,1760.
"mli",108,"Afrique","Mali","Mali",1242000,1242000,13900000,12300000,12700000,13000000,13300000,15400000,16300000,15500000,15500000,16700000,18100000,18700000,19100000,19700000,20000000,20800000,22600000,23200000,24400000,11,9.9,10.23,10.47,10.71,12.4,13.120000000000001,12.48,12.48,13.450000000000001,14.57,15.06,15.38,15.860000000000001,16.1,16.75,18.2,18.68,19.650000000000002
"mlt",109,"Europe","Malta","Malte",300,300,400000,400000,400000,400000,400000,400000,400000,450000,450000,400000,420000,421000,432000,440000,442000,443000,533000,535000,540000,1333,1333.33,1333.33,1333.33,1333.33,1333.33,1333.33,1500.,1500.,1333.33,1400.,1403.33,1440.,1466.67,1473.33,1476.67,1776.67,1783.33,1800.
"mar",110,"Afrique","Morocco","Maroc",447000,447000,31700000,31700000,31200000,31500000,32400000,32300000,32600000,33000000,33000000,34100000,34800000,35200000,36200000,36500000,36900000,37300000,37500000,37800000,38000000,71,70.92,69.8,70.47,72.48,72.26,72.93,73.83,73.83,76.29,77.85000000000001,78.75,80.98,81.66,82.55,83.45,83.89,84.56,85.01
"mhl",111,"Océanie","Marshall Islands","Marshall",200,200,,,,,,,,60000,60000,60000,60000,60000,60000,60000,60000,59000,59000,60000,60000,,,,,,,,300.,300.,300.,300.,300.,300.,300.,300.,295.,295.,300.,300.
